iter	Passed	Remaining
377	2150	3538
378	2154	3530
379	2158	3522
380	2163	3514
381	2166	3505
382	2170	3496
383	2175	3490
384	2180	3482
385	2184	3475
386	2189	3467
387	2194	3461
388	2199	3454
389	2202	3445
390	2209	3441
391	2216	3438
392	2225	3436
393	2229	3429
394	2234	3422
395	2240	3417
396	2249	3416
397	2255	3410
398	2260	3404
399	2265	3398
400	2270	3391
401	2275	3384
402	2281	3380
403	2286	3373
404	2291	3367
405	2296	3359
406	2301	3353
407	2306	3347
408	2312	3342
409	2320	3339
410	2326	3334
411	2331	3327
412	2336	3321
413	2341	3313
414	2348	3309
415	2353	3303
416	2358	3297
417	2362	3290
